time_wall,time_perf,rel_time,VEHICLE_SPEED,VEHICLE_SPEED_age_ms,BRAKE_ACTIVE,BRAKE_ACTIVE_age_ms,STEER_ANGLE,STEER_ANGLE_age_ms,WHEEL_SPEED_FL,WHEEL_SPEED_FL_age_ms,WHEEL_SPEED_FR,WHEEL_SPEED_FR_age_ms,WHEEL_SPEED_RL,WHEEL_SPEED_RL_age_ms,WHEEL_SPEED_RR,WHEEL_SPEED_RR_age_ms
1778594531.560189,1867095.251892,0.064576,,,,,,,,,,,,,,
1778594531.622993,1867095.314696,0.127380,,,,,,,,,,,,,,
1778594531.686339,1867095.378044,0.190728,,,,,,,,,,,,,,
1778594531.749658,1867095.441364,0.254048,,,,,,,,,,,,,,
1778594531.812182,1867095.503887,0.316571,,,,,,,,,,,,,,
1778594531.874497,1867095.566202,0.378886,0.0,31.911,1,33.473,3.6,33.682,0.0,33.023,0.0,33.023,0.0,33.023,0.0,33.023
1778594531.936559,1867095.628266,0.440950,0.0,93.975,1,95.536,3.6,95.746,0.0,95.087,0.0,95.087,0.0,95.087,0.0,95.087
1778594532.032176,1867095.723882,0.536566,0.0,90.215,1,90.387,3.6,90.540,0.0,90.789,0.0,90.789,0.0,90.789,0.0,90.789
1778594532.095134,1867095.786838,0.599522,0.0,153.171,1,153.343,3.6,153.496,0.0,153.745,0.0,153.745,0.0,153.745,0.0,153.745
1778594532.218954,1867095.910660,0.723344,0.0,96.042,1,96.925,3.6,97.160,0.0,96.273,0.0,96.273,0.0,96.273,0.0,96.273
1778594532.281375,1867095.973081,0.785765,0.0,158.463,1,159.346,3.6,159.581,0.0,158.694,0.0,158.694,0.0,158.694,0.0,158.694
1778594532.405340,1867096.097046,0.909730,0.0,95.275,1,96.544,3.6,96.761,0.0,95.920,0.0,95.920,0.0,95.920,0.0,95.920
1778594532.468038,1867096.159744,0.972428,0.0,157.973,1,159.243,3.6,159.459,0.0,158.618,0.0,158.618,0.0,158.618,0.0,158.618
1778594532.592404,1867096.284110,1.096794,0.0,89.613,1,91.190,3.6,91.358,0.0,90.759,0.0,90.759,0.0,90.759,0.0,90.759
1778594532.654883,1867096.346589,1.159273,0.0,152.092,1,153.668,3.6,153.837,0.0,153.237,0.0,153.237,0.0,153.237,0.0,153.237
1778594532.778188,1867096.469893,1.282577,0.0,92.871,1,94.322,4.4,94.568,0.0,93.810,0.0,93.810,0.0,93.810,0.0,93.810
1778594532.840437,1867096.532142,1.344826,0.0,155.120,1,156.571,4.4,156.817,0.0,156.059,0.0,156.059,0.0,156.059,0.0,156.059
1778594532.948082,1867096.639788,1.452472,0.0,262.765,1,88.423,10.4,88.144,0.0,87.733,0.0,87.733,0.0,87.733,0.0,87.733
1778594533.010757,1867096.702463,1.515147,0.0,325.441,1,151.099,10.4,150.819,0.0,150.409,0.0,150.409,0.0,150.409,0.0,150.409
1778594533.134492,1867096.826198,1.638882,0.0,98.700,1,98.894,11.600000000000001,99.045,0.0,99.231,0.0,99.231,0.0,99.231,0.0,99.231
1778594533.196347,1867096.888034,1.700718,0.0,160.536,1,160.730,11.600000000000001,160.880,0.0,161.067,0.0,161.067,0.0,161.067,0.0,161.067
1778594533.320970,1867097.012675,1.825359,0.0,97.780,1,98.532,11.700000000000001,98.700,0.0,98.897,0.0,98.897,0.0,98.897,0.0,98.897
1778594533.382630,1867097.074337,1.887021,0.0,159.442,1,160.193,11.700000000000001,160.361,0.0,160.559,0.0,160.559,0.0,160.559,0.0,160.559
1778594533.505344,1867097.197050,2.009735,0.0,84.449,1,86.115,11.8,86.372,0.0,85.590,0.0,85.590,0.0,85.590,0.0,85.590
1778594533.567280,1867097.258986,2.071670,0.0,146.384,1,148.051,11.8,148.308,0.0,147.526,0.0,147.526,0.0,147.526,0.0,147.526
1778594533.693074,1867097.384781,2.197465,0.0,85.052,1,86.098,12.0,86.251,0.0,86.478,0.0,86.478,0.0,86.478,0.0,86.478
1778594533.756967,1867097.448671,2.261355,0.0,148.943,1,149.989,12.0,150.142,0.0,150.368,0.0,150.368,0.0,150.368,0.0,150.368
1778594533.883341,1867097.575046,2.387730,0.0,86.332,1,87.789,13.100000000000001,87.958,0.0,87.277,0.0,87.277,0.0,87.277,0.0,87.277
1778594533.945525,1867097.637231,2.449915,0.0,148.517,1,149.974,13.100000000000001,150.142,0.0,149.462,0.0,149.462,0.0,149.462,0.0,149.462
1778594534.070398,1867097.762105,2.574789,0.0,273.391,1,86.374,14.4,86.529,0.0,86.656,0.0,86.656,0.0,86.656,0.0,86.656
1778594534.131754,1867097.823459,2.636143,0.0,334.745,1,147.729,14.4,147.883,0.0,148.011,0.0,148.011,0.0,148.011,0.0,148.011
1778594534.255848,1867097.947554,2.760238,0.0,458.840,1,92.274,14.4,92.068,0.0,91.430,0.0,91.430,0.0,91.430,0.0,91.430
1778594534.318185,1867098.009890,2.822575,0.0,521.177,1,154.610,14.4,154.405,0.0,153.767,0.0,153.767,0.0,153.767,0.0,153.767
1778594534.443345,1867098.135050,2.947734,0.0,98.852,1,99.398,12.700000000000001,99.171,0.0,98.523,0.0,98.523,0.0,98.523,0.0,98.523
1778594534.506200,1867098.197906,3.010590,0.0,161.708,1,162.254,12.700000000000001,162.027,0.0,161.379,0.0,161.379,0.0,161.379,0.0,161.379
1778594534.615762,1867098.307467,3.120151,0.0,88.073,1,89.171,12.600000000000001,88.966,0.0,88.449,0.0,88.449,0.0,88.449,0.0,88.449
1778594534.677835,1867098.369539,3.182224,0.0,150.145,1,151.243,12.600000000000001,151.038,0.0,150.521,0.0,150.521,0.0,150.521,0.0,150.521
