time_wall,time_perf,arrival_perf,rel_time,can_id,dlc,data
1778594382.838413,1866946.530121,1866946.529654,0.344884,0x130,8,00 00 00 00 00 00 04 2E
1778594382.838512,1866946.530220,1866946.529673,0.344984,0x158,8,00 00 00 00 00 00 16 21
1778594382.838582,1866946.530290,1866946.529678,0.345053,0x17C,8,00 00 02 F2 01 00 20 2C
1778594382.838670,1866946.530378,1866946.529681,0.345141,0x191,8,01 00 00 A1 A1 01 7F 2D
1778594382.838746,1866946.530454,1866946.529682,0.345217,0x1DC,7,02 02 F2 00 00 00 36
1778594382.838769,1866946.530477,1866946.529684,0.345241,0x1ED,3,01 FF 3A
1778594382.838793,1866946.530501,1866946.529685,0.345264,0x1A6,8,04 00 40 14 B8 01 00 15
1778594382.838814,1866946.530523,1866946.529686,0.345286,0x221,4,21 00 00 3D
1778594382.838837,1866946.530545,1866946.529688,0.345308,0x91,8,80 33 88 06 05 00 00 23
1778594382.838886,1866946.530595,1866946.529689,0.345358,0x294,8,00 16 01 00 2A 43 00 3B
1778594382.838917,1866946.530625,1866946.529690,0.345388,0x295,4,00 00 00 35
1778594382.838953,1866946.530661,1866946.529692,0.345424,0x156,6,FD 83 00 00 07 0E
1778594382.839002,1866946.530710,1866946.529693,0.345473,0x1AB,3,00 00 11
1778594382.839152,1866946.530860,1866946.529700,0.345623,0x1FB,1,2B
1778594382.839194,1866946.530902,1866946.529702,0.345665,0x1A4,8,01 75 00 00 00 00 00 1B
1778594382.839280,1866946.530988,1866946.529704,0.345751,0x1B0,7,80 0F 00 00 00 01 13
1778594382.839331,1866946.531039,1866946.529705,0.345803,0x1D0,8,00 00 00 00 00 00 00 0A
1778594382.839407,1866946.531115,1866946.529708,0.345878,0x1EA,8,00 00 00 00 00 00 00 1E
1778594382.839472,1866946.531180,1866946.529709,0.345943,0x1AC,8,7F FF 00 00 00 00 00 1C
1778594382.839512,1866946.531220,1866946.529711,0.345984,0x255,8,00 00 00 00 55 55 FC 5A
1778594382.839712,1866946.531420,1866946.529720,0.346183,0x305,7,80 14 00 00 00 00 21
1778594382.839905,1866946.531613,1866946.529732,0.346376,0x39,3,00 00 0C
1778594382.840040,1866946.531748,1866946.529743,0.346512,0x406,5,00 00 00 03 0B
1778594382.840383,1866946.532091,1866946.529782,0.346854,0x372,2,20 19
1778594382.840423,1866946.532132,1866946.529783,0.346895,0x309,8,00 00 00 00 00 00 00 57
1778594382.840488,1866946.532196,1866946.529784,0.346959,0x374,7,57 00 00 00 00 00 1D
1778594382.840591,1866946.532299,1866946.529787,0.347062,0x396,7,00 00 3B 57 00 00 1B
1778594382.840626,1866946.532334,1866946.529789,0.347097,0x428,7,00 00 00 00 00 00 37
1778594382.840653,1866946.532361,1866946.529790,0.347124,0x37B,8,30 00 00 20 00 00 00 1D
1778594382.840900,1866946.532608,1866946.529812,0.347371,0x320,8,00 00 00 00 00 00 00 30
1778594382.840929,1866946.532637,1866946.529814,0.347400,0x324,8,7E 71 40 CA 00 00 00 35
1778594382.841004,1866946.532712,1866946.529815,0.347475,0x328,8,00 00 00 00 00 80 00 6D
1778594382.841826,1866946.533534,1866946.529918,0.348297,0x45B,2,00 31
1778594382.933731,1866946.625440,1866946.625300,0.440203,0x396,7,00 00 3B 57 00 00 2A
1778594382.933801,1866946.625509,1866946.625310,0.440272,0x551,5,00 00 00 06 16
1778594382.933846,1866946.625554,1866946.625312,0.440318,0x130,8,00 00 00 00 00 00 04 3D
1778594382.933941,1866946.625649,1866946.625314,0.440412,0x158,8,00 00 00 00 00 00 16 30
1778594382.934027,1866946.625735,1866946.625316,0.440498,0x17C,8,00 00 02 FC 01 00 20 31
1778594382.934153,1866946.625861,1866946.625317,0.440625,0x191,8,01 00 00 A1 A1 01 7F 3C
1778594382.934267,1866946.625975,1866946.625319,0.440738,0x1FB,1,2B
1778594382.934308,1866946.626016,1866946.625320,0.440779,0x91,8,80 33 88 02 05 00 00 36
1778594382.934378,1866946.626086,1866946.625322,0.440849,0x1A4,8,01 75 00 00 00 00 00 1B
1778594382.934470,1866946.626178,1866946.625324,0.440942,0x1B0,7,80 0F 00 00 00 01 13
1778594382.934553,1866946.626261,1866946.625325,0.441024,0x1D0,8,00 00 00 00 00 00 00 0A
1778594382.934630,1866946.626338,1866946.625326,0.441102,0x156,6,FD 83 00 00 07 1D
1778594382.934704,1866946.626412,1866946.625328,0.441176,0x1EA,8,00 00 00 00 00 00 00 1E
1778594382.934773,1866946.626481,1866946.625329,0.441244,0x1AC,8,7F FF 00 00 00 00 00 1C
1778594382.934816,1866946.626524,1866946.625330,0.441287,0x255,8,00 00 00 00 55 55 00 56
1778594382.934963,1866946.626671,1866946.625337,0.441434,0x1DC,7,02 02 FC 00 00 00 0F
